country,economy
ABW,hic
AFG,lic
AGO,lmic
ALB,umic
AND,hic
ARE,hic
ARG,umic
ARM,umic
ASM,umic
ATG,hic
AUS,hic
AUT,hic
AZE,umic
BDI,lic
BEL,hic
BEN,lmic
BFA,lic
BGD,lmic
BGR,umic
BHR,hic
BHS,hic
BIH,umic
BLR,umic
BLZ,umic
BMU,hic
BOL,lmic
BRA,umic
BRB,hic
BRN,hic
BTN,lmic
BWA,umic
CAF,lic
CAN,hic
CHE,hic
CHI,hic
CHL,hic
CHN,umic
CIV,lmic
CMR,lmic
COD,lic
COG,lmic
COK,umic
COL,umic
COM,lmic
CPV,lmic
CRI,umic
CUB,umic
CUW,hic
CYM,hic
CYP,hic
CZE,hic
DEU,hic
DJI,lmic
DMA,umic
DNK,hic
DOM,umic
DZA,lmic
ECU,umic
EGY,lmic
ERI,lic
ESP,hic
EST,hic
ETH,lic
FIN,hic
FJI,umic
FRA,hic
FRO,hic
FSM,lmic
GAB,umic
GBR,hic
GEO,umic
GHA,lmic
GIB,hic
GIN,lic
GMB,lic
GNB,lic
GNQ,umic
GRC,hic
GRD,umic
GRL,hic
GTM,umic
GUM,hic
GUY,umic
HKG,hic
HND,lmic
HRV,hic
HTI,lic
HUN,hic
IDN,umic
IMN,hic
IND,lmic
IRL,hic
IRN,umic
IRQ,umic
ISL,hic
ISR,hic
ITA,hic
JAM,umic
JOR,umic
JPN,hic
KAZ,umic
KEN,lmic
KGZ,lmic
KHM,lmic
KIR,lmic
KNA,hic
KOR,hic
KWT,hic
LAO,lmic
LBN,umic
LBR,lic
LBY,umic
LCA,umic
LIE,hic
LKA,lmic
LSO,lmic
LTU,hic
LUX,hic
LVA,hic
MAC,hic
MAF,hic
MAR,lmic
MCO,hic
MDA,lmic
MDG,lic
MDV,umic
MEX,umic
MHL,umic
MKD,umic
MLI,lic
MLT,hic
MMR,lmic
MNE,umic
MNG,lmic
MNP,hic
MOZ,lic
MRT,lmic
MUS,hic
MWI,lic
MYS,umic
NAM,umic
NCL,hic
NER,lic
NGA,lmic
NIC,lmic
NIU,umic
NLD,hic
NOR,hic
NPL,lmic
NRU,hic
NZL,hic
OMN,hic
PAK,lmic
PAN,hic
PER,umic
PHL,lmic
PLW,hic
PNG,lmic
POL,hic
PRI,hic
PRK,lic
PRT,hic
PRY,umic
PSE,lmic
PYF,hic
QAT,hic
ROU,hic
RUS,umic
RWA,lic
SAU,hic
SDN,lic
SEN,lmic
SGP,hic
SLB,lmic
SLE,lic
SLV,lmic
SMR,hic
SOM,lic
SRB,umic
SSD,lic
STP,lmic
SUR,umic
SVK,hic
SVN,hic
SWE,hic
SWZ,lmic
SXM,hic
SYC,hic
SYR,lic
TCA,hic
TCD,lic
TGO,lic
THA,umic
TJK,lic
TKM,umic
TLS,lmic
TON,umic
TTO,hic
TUN,lmic
TUR,umic
TUV,umic
TWN,hic
TZA,lmic
UGA,lic
UKR,lmic
URY,hic
USA,hic
UZB,lmic
VCT,umic
VEN,umic
VGB,hic
VIR,hic
VNM,lmic
VUT,lmic
WSM,umic
XKX,umic
YEM,lic
ZAF,umic
ZMB,lmic
ZWE,lmic
