"year","mean","lower","upper","column_text"
2011,3558703.02336667,3196811.90878955,4015308.68920439,"3.6 (3.2-4)"
2012,3657571.21351968,3293217.08307496,4123184.08490483,"3.7 (3.3-4.1)"
2013,3752658.23140451,3373883.73353687,4227197.57336256,"3.8 (3.4-4.2)"
2014,3872510.3539548,3464215.88616876,4347510.6044779,"3.9 (3.5-4.3)"
2015,3962070.5219525,3547448.82036339,4458859.17749481,"4 (3.5-4.5)"
2016,4143421.71802618,3705819.62726148,4679154.94435604,"4.1 (3.7-4.7)"
2017,4317219.0489965,3882794.67890925,4875801.45418483,"4.3 (3.9-4.9)"
2018,4238226.27643796,3796877.66231134,4802549.30815753,"4.2 (3.8-4.8)"
2019,4280095.17294753,3830529.93141187,4854886.18837063,"4.3 (3.8-4.9)"
2020,4383413.5058559,3889694.84404341,5016067.85832161,"4.4 (3.9-5)"
9999,40165889.0664622,35995397.4230574,45154690.6811193,"40.2 (36-45.2)"
