"disease","year","deaths_averted"
"Diphtheria",2021,14906.0676904296
"Diphtheria",2022,15085.3087715637
"Diphtheria",2023,15244.4390404799
"Diphtheria",2024,15391.2328542766
"Diphtheria",2025,15531.3199856788
"Diphtheria",2026,15670.683649585
"Diphtheria",2027,15802.7266880346
"Diphtheria",2028,15926.3007176595
"Diphtheria",2029,16039.8742158355
"Diphtheria",2030,16142.5624799611
"Human papillomavirus",2021,190674.123053071
"Human papillomavirus",2022,263272.450504298
"Human papillomavirus",2023,302464.471597041
"Human papillomavirus",2024,335754.722128688
"Human papillomavirus",2025,424509.283861135
"Human papillomavirus",2026,466654.510857213
"Human papillomavirus",2027,492720.439043429
"Human papillomavirus",2028,519286.623635737
"Human papillomavirus",2029,546283.565076282
"Human papillomavirus",2030,573724.183991842
"Hepatitis B",2021,1308552.45844443
"Hepatitis B",2022,1324837.56744073
"Hepatitis B",2023,1340299.61746615
"Hepatitis B",2024,1355899.93366259
"Hepatitis B",2025,1372951.68049291
"Hepatitis B",2026,1393666.46911125
"Hepatitis B",2027,1431335.38298737
"Hepatitis B",2028,1460448.56267751
"Hepatitis B",2029,1483249.99679443
"Hepatitis B",2030,1501116.15052454
"Haemophilus influenzae type b",2021,200826.748550919
"Haemophilus influenzae type b",2022,206223.863465096
"Haemophilus influenzae type b",2023,211281.255305865
"Haemophilus influenzae type b",2024,221754.904799593
"Haemophilus influenzae type b",2025,229304.203614831
"Haemophilus influenzae type b",2026,235351.983450368
"Haemophilus influenzae type b",2027,240609.067634599
"Haemophilus influenzae type b",2028,245393.35960983
"Haemophilus influenzae type b",2029,249811.049052885
"Haemophilus influenzae type b",2030,253897.688779942
"Japanese encephalitis",2021,5635.01603136262
"Japanese encephalitis",2022,5592.17270789119
"Japanese encephalitis",2023,8998.73316546479
"Japanese encephalitis",2024,11927.0657466158
"Japanese encephalitis",2025,13487.4082562185
"Japanese encephalitis",2026,14346.9462009111
"Japanese encephalitis",2027,15213.1718805841
"Japanese encephalitis",2028,15718.7251643724
"Japanese encephalitis",2029,15991.6838825006
"Japanese encephalitis",2030,16107.8648644373
"Measles",2021,1671704.92405473
"Measles",2022,1717750.18993871
"Measles",2023,1760094.2603684
"Measles",2024,1803174.16093616
"Measles",2025,1845765.10503435
"Measles",2026,1897408.95591243
"Measles",2027,1956945.60401687
"Measles",2028,2008647.47183912
"Measles",2029,2053769.32475646
"Measles",2030,2093542.7999187
"Meningitis A",2021,6029.44218869549
"Meningitis A",2022,6217.31427736623
"Meningitis A",2023,6421.43774282166
"Meningitis A",2024,6617.64654420531
"Meningitis A",2025,7028.67547061858
"Meningitis A",2026,7409.91986331653
"Meningitis A",2027,14073.0516290198
"Meningitis A",2028,18482.6782744266
"Meningitis A",2029,21444.2669923884
"Meningitis A",2030,23474.8859162623
"Pertussis",2021,467359.322710393
"Pertussis",2022,476296.587441907
"Pertussis",2023,484588.409793305
"Pertussis",2024,492440.005680217
"Pertussis",2025,499991.464818282
"Pertussis",2026,507360.652647087
"Pertussis",2027,514438.833273819
"Pertussis",2028,521187.305375918
"Pertussis",2029,527550.80949227
"Pertussis",2030,533496.610596257
"Pneumococcal",2021,139472.954048902
"Pneumococcal",2022,154742.092588322
"Pneumococcal",2023,172463.646962094
"Pneumococcal",2024,185608.458064233
"Pneumococcal",2025,196262.798578602
"Pneumococcal",2026,204912.539959351
"Pneumococcal",2027,216690.890530975
"Pneumococcal",2028,225872.991099743
"Pneumococcal",2029,233204.410296036
"Pneumococcal",2030,239174.391526625
"Rotavirus",2021,31712.297218881
"Rotavirus",2022,34637.0256829365
"Rotavirus",2023,38328.1071425888
"Rotavirus",2024,41417.1877792379
"Rotavirus",2025,44283.3774908066
"Rotavirus",2026,46742.4497471837
"Rotavirus",2027,61748.3211597666
"Rotavirus",2028,72074.0576231018
"Rotavirus",2029,79303.6732232759
"Rotavirus",2030,84475.5965143977
"Rubella",2021,44846.0101654353
"Rubella",2022,45139.4504353245
"Rubella",2023,45441.4174363571
"Rubella",2024,45996.6340494962
"Rubella",2025,46703.847819503
"Rubella",2026,48235.4205691967
"Rubella",2027,51213.2948667647
"Rubella",2028,53295.8326970932
"Rubella",2029,54759.0317652409
"Rubella",2030,55787.8726003112
"Tetanus",2021,42337.632073819
"Tetanus",2022,42926.6091351877
"Tetanus",2023,43453.4168071188
"Tetanus",2024,43946.7123508253
"Tetanus",2025,44427.2513889057
"Tetanus",2026,44914.0620237937
"Tetanus",2027,45388.204678069
"Tetanus",2028,45842.837402858
"Tetanus",2029,46267.614836803
"Tetanus",2030,46655.44565402
"Tuberculosis",2021,117236.971615971
"Tuberculosis",2022,118728.401397283
"Tuberculosis",2023,120125.362713981
"Tuberculosis",2024,121463.282512785
"Tuberculosis",2025,122767.890190874
"Tuberculosis",2026,124052.758422311
"Tuberculosis",2027,125302.438774654
"Tuberculosis",2028,126510.114208228
"Tuberculosis",2029,127667.34737986
"Tuberculosis",2030,128768.545526151
"Yellow Fever",2021,143400.085159316
"Yellow Fever",2022,149365.348422023
"Yellow Fever",2023,155131.210920868
"Yellow Fever",2024,162969.875370324
"Yellow Fever",2025,169830.470528282
"Yellow Fever",2026,177122.142190265
"Yellow Fever",2027,183558.820925974
"Yellow Fever",2028,189360.34676088
"Yellow Fever",2029,194677.108299226
"Yellow Fever",2030,199613.293150093
