"location_name","nx","JE"
"Australia",335309,0
"Bangladesh",2874791,0
"Bhutan",13360,0
"Brunei Darussalam",5737,0
"Cambodia",353263,0.94635947454597
"China",16446861,0
"Democratic People's Republic of Korea",356211,0
"India",23904724,0.3827
"Indonesia",4576433,0.0145467137335628
"Japan",895315,1
"Lao People's Democratic Republic",163036,0.6303
"Malaysia",534886,0.999999999999815
"Myanmar",930419,0.936067279925914
"Nepal",543558,0.789255270299999
"Pakistan",5773161,0
"Papua New Guinea",225694,0
"Philippines",1988270,0
"Republic of Korea",332187,1
"Russian Federation",1799828,0
"Singapore",56957,0
"Sri Lanka",336646,0.995
"Thailand",710556,0
"Timor-Leste",38809,0
"Viet Nam",1599144,0.995
