"region","year","target_deaths_averted","observed_deaths_averted"
"Global",2019,4258186.71277275,4232358.25179633
"Global",2020,4280672.17966892,4157839.57754521
"Global",2021,4231956.18096681,3994625.48213423
"EMRO",2019,505708.954047325,523895.528250579
"EMRO",2020,506868.505424391,517221.555357076
"EMRO",2021,509597.299451842,518126.041224629
"AFRO",2019,1672237.76269589,1591589.45657346
"AFRO",2020,1751131.95518532,1644394.26285346
"AFRO",2021,1795223.43729063,1635111.57256809
"EURO",2019,207206.4118477,208396.114639232
"EURO",2020,199051.610653122,200541.508804417
"EURO",2021,196157.041399221,197337.122184254
"PAHO",2019,321648.860776387,319092.474275586
"PAHO",2020,307623.758582592,297165.131954363
"PAHO",2021,301393.895615556,286553.242945557
"WPRO",2019,642018.581150793,647112.428060982
"WPRO",2020,616816.398013773,618707.19708117
"WPRO",2021,540454.638204598,522661.958177089
"SEARO",2019,909366.142254663,942272.249996488
"SEARO",2020,899179.951809729,879809.921494729
"SEARO",2021,889129.869004961,834835.545034612
